"","highest_level_of_education","job_satisfaction","self_ascribed_social_class","financial_satisfaction","compare_financial_status_against_other_us_families"
"530","Associate / Junior College","A Little Dissatisfied","Upper Class","More or Less Satisfied","Far Below Average"
"531","Bachelors Degree","Moderately Satisfied","Working Class","More or Less Satisfied","Average"
"532","Graduate Degree","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Far Below Average"
"533","Associate / Junior College","Moderately Satisfied","Middle Class","Not Satisfied at All","Below Average"
"534","Less Than High School","A Little Dissatisfied","Working Class","Not Satisfied at All","Below Average"
"535","Less Than High School","A Little Dissatisfied","Lower Class","More or Less Satisfied","Far Above Average"
"536","Graduate Degree","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"537","Less Than High School","A Little Dissatisfied","Lower Class","More or Less Satisfied","Average"
"538","Less Than High School","Very Satisfied","Middle Class","More or Less Satisfied","Far Below Average"
"539","Graduate Degree","Moderately Satisfied","Lower Class","Not Satisfied at All","Far Below Average"
"540","Associate / Junior College","Moderately Satisfied","Upper Class","Not Satisfied at All","Above Average"
"541","Less Than High School","Very Dissatisfied","Upper Class","Not Satisfied at All","Far Above Average"
"542","High School","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"543","Graduate Degree","Moderately Satisfied","Working Class","Not Satisfied at All","Far Above Average"
"544","Graduate Degree","Moderately Satisfied","Working Class","Pretty Well Satisfied","Above Average"
"545","Graduate Degree","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Average"
"546","Graduate Degree","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Below Average"
"547","High School","Very Satisfied","Middle Class","More or Less Satisfied","Far Above Average"
"548","Associate / Junior College","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Above Average"
"549","Graduate Degree","Moderately Satisfied","Working Class","More or Less Satisfied","Above Average"
"550","High School","Moderately Satisfied","Upper Class","More or Less Satisfied","Far Above Average"
"551","Graduate Degree","Moderately Satisfied","Working Class","Pretty Well Satisfied","Above Average"
"552","Bachelors Degree","A Little Dissatisfied","Lower Class","More or Less Satisfied","Above Average"
"553","Less Than High School","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Far Below Average"
"554","Bachelors Degree","Very Satisfied","Middle Class","Not Satisfied at All","Average"
"555","Less Than High School","A Little Dissatisfied","Working Class","More or Less Satisfied","Far Below Average"
"556","High School","Very Satisfied","Lower Class","Not Satisfied at All","Far Below Average"
"557","Graduate Degree","Moderately Satisfied","Lower Class","Not Satisfied at All","Far Above Average"
"558","Bachelors Degree","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Above Average"
"559","Less Than High School","Very Dissatisfied","Working Class","Pretty Well Satisfied","Below Average"
"560","Less Than High School","A Little Dissatisfied","Upper Class","More or Less Satisfied","Far Above Average"
"561","Graduate Degree","Moderately Satisfied","Middle Class","More or Less Satisfied","Far Below Average"
"562","Less Than High School","Very Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"563","Less Than High School","A Little Dissatisfied","Upper Class","More or Less Satisfied","Far Above Average"
"564","Less Than High School","A Little Dissatisfied","Working Class","More or Less Satisfied","Far Below Average"
"565","Graduate Degree","Very Satisfied","Lower Class","More or Less Satisfied","Far Above Average"
"566","High School","Very Dissatisfied","Lower Class","More or Less Satisfied","Above Average"
"567","Less Than High School","Very Satisfied","Working Class","Not Satisfied at All","Above Average"
"568","Graduate Degree","Very Dissatisfied","Lower Class","Not Satisfied at All","Above Average"
"569","Bachelors Degree","Very Satisfied","Upper Class","More or Less Satisfied","Below Average"
"570","Associate / Junior College","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"571","High School","Very Satisfied","Lower Class","Pretty Well Satisfied","Far Below Average"
"572","Bachelors Degree","Very Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"573","High School","Very Satisfied","Lower Class","Not Satisfied at All","Above Average"
"574","Graduate Degree","Very Satisfied","Lower Class","Not Satisfied at All","Far Below Average"
"575","Less Than High School","Moderately Satisfied","Working Class","Pretty Well Satisfied","Average"
"576","Bachelors Degree","Very Satisfied","Middle Class","Pretty Well Satisfied","Average"
"577","Graduate Degree","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Below Average"
"578","Bachelors Degree","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Above Average"
"579","Less Than High School","Very Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"580","Less Than High School","Very Dissatisfied","Middle Class","Not Satisfied at All","Below Average"
"581","Associate / Junior College","Moderately Satisfied","Lower Class","More or Less Satisfied","Below Average"
"582","High School","A Little Dissatisfied","Lower Class","Not Satisfied at All","Far Below Average"
"583","Associate / Junior College","Moderately Satisfied","Upper Class","Not Satisfied at All","Far Above Average"
"584","High School","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Below Average"
"585","Associate / Junior College","Very Satisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"586","Associate / Junior College","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Above Average"
"587","Bachelors Degree","Very Satisfied","Upper Class","Not Satisfied at All","Far Below Average"
"588","Graduate Degree","Very Dissatisfied","Lower Class","Not Satisfied at All","Average"
"589","Associate / Junior College","Very Satisfied","Lower Class","More or Less Satisfied","Far Below Average"
"590","Bachelors Degree","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"591","Bachelors Degree","Very Satisfied","Upper Class","More or Less Satisfied","Above Average"
"592","Graduate Degree","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"593","Bachelors Degree","A Little Dissatisfied","Working Class","More or Less Satisfied","Below Average"
"594","Bachelors Degree","Moderately Satisfied","Middle Class","More or Less Satisfied","Average"
"595","High School","A Little Dissatisfied","Upper Class","Not Satisfied at All","Far Above Average"
"596","Bachelors Degree","Moderately Satisfied","Middle Class","More or Less Satisfied","Average"
"597","Bachelors Degree","Very Satisfied","Working Class","Not Satisfied at All","Below Average"
"598","High School","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Average"
"599","High School","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Average"
"600","Bachelors Degree","Very Dissatisfied","Lower Class","Not Satisfied at All","Far Above Average"
"601","Bachelors Degree","Moderately Satisfied","Lower Class","Not Satisfied at All","Above Average"
"602","Bachelors Degree","A Little Dissatisfied","Lower Class","Not Satisfied at All","Below Average"
"603","Associate / Junior College","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"604","Bachelors Degree","Very Dissatisfied","Working Class","Not Satisfied at All","Above Average"
"605","Graduate Degree","Moderately Satisfied","Middle Class","Not Satisfied at All","Above Average"
"606","Less Than High School","Moderately Satisfied","Lower Class","More or Less Satisfied","Far Above Average"
"607","Bachelors Degree","Very Dissatisfied","Working Class","Not Satisfied at All","Average"
"608","Associate / Junior College","Very Dissatisfied","Middle Class","More or Less Satisfied","Below Average"
"609","High School","Very Dissatisfied","Working Class","More or Less Satisfied","Far Below Average"
"610","Less Than High School","A Little Dissatisfied","Lower Class","Not Satisfied at All","Far Above Average"
"611","Associate / Junior College","Very Satisfied","Working Class","Pretty Well Satisfied","Average"
"612","High School","Very Satisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"613","Less Than High School","Very Satisfied","Upper Class","Not Satisfied at All","Above Average"
"614","Less Than High School","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Above Average"
"615","Bachelors Degree","A Little Dissatisfied","Upper Class","Not Satisfied at All","Far Below Average"
"616","Graduate Degree","Moderately Satisfied","Upper Class","Not Satisfied at All","Far Below Average"
"617","Bachelors Degree","Very Satisfied","Upper Class","More or Less Satisfied","Far Below Average"
"618","Less Than High School","Very Dissatisfied","Middle Class","More or Less Satisfied","Far Above Average"
"619","Graduate Degree","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"620","Bachelors Degree","Moderately Satisfied","Lower Class","Not Satisfied at All","Far Above Average"
"621","High School","Very Satisfied","Working Class","More or Less Satisfied","Above Average"
"622","High School","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Above Average"
"623","Associate / Junior College","Moderately Satisfied","Lower Class","More or Less Satisfied","Far Below Average"
"624","High School","Very Dissatisfied","Working Class","Not Satisfied at All","Above Average"
"625","Bachelors Degree","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"626","Less Than High School","Very Satisfied","Working Class","Not Satisfied at All","Average"
"627","Less Than High School","A Little Dissatisfied","Working Class","More or Less Satisfied","Far Above Average"
"628","Bachelors Degree","Very Dissatisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"629","Less Than High School","Very Satisfied","Middle Class","More or Less Satisfied","Above Average"
"630","Bachelors Degree","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Average"
"631","Associate / Junior College","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"632","Graduate Degree","Very Satisfied","Working Class","More or Less Satisfied","Far Above Average"
"633","Less Than High School","A Little Dissatisfied","Working Class","More or Less Satisfied","Average"
"634","Graduate Degree","Very Satisfied","Upper Class","Not Satisfied at All","Far Above Average"
"635","High School","Very Satisfied","Middle Class","Pretty Well Satisfied","Below Average"
"636","Less Than High School","Very Satisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"637","High School","Very Satisfied","Middle Class","Pretty Well Satisfied","Average"
"638","Graduate Degree","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"639","Associate / Junior College","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"640","High School","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Below Average"
"641","Less Than High School","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"642","Graduate Degree","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Below Average"
"643","Associate / Junior College","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"644","Less Than High School","Very Satisfied","Upper Class","More or Less Satisfied","Far Below Average"
"645","High School","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Above Average"
"646","Associate / Junior College","A Little Dissatisfied","Middle Class","More or Less Satisfied","Far Above Average"
"647","Less Than High School","A Little Dissatisfied","Lower Class","More or Less Satisfied","Far Below Average"
"648","Associate / Junior College","Very Satisfied","Middle Class","Not Satisfied at All","Far Below Average"
"649","Bachelors Degree","Very Dissatisfied","Lower Class","Not Satisfied at All","Far Above Average"
"650","Less Than High School","Very Satisfied","Lower Class","Not Satisfied at All","Far Above Average"
"651","High School","Very Dissatisfied","Lower Class","Not Satisfied at All","Average"
"652","Bachelors Degree","Very Satisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"653","Less Than High School","A Little Dissatisfied","Lower Class","Not Satisfied at All","Far Above Average"
"654","High School","A Little Dissatisfied","Middle Class","More or Less Satisfied","Below Average"
"655","Bachelors Degree","Very Satisfied","Lower Class","Not Satisfied at All","Below Average"
"656","Less Than High School","Very Satisfied","Middle Class","Pretty Well Satisfied","Above Average"
"657","Bachelors Degree","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"658","Graduate Degree","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Below Average"
"659","Graduate Degree","Very Satisfied","Upper Class","Not Satisfied at All","Above Average"
"660","High School","Very Satisfied","Upper Class","More or Less Satisfied","Above Average"
"661","High School","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Below Average"
"662","High School","Moderately Satisfied","Middle Class","More or Less Satisfied","Average"
"663","Graduate Degree","Very Dissatisfied","Working Class","More or Less Satisfied","Average"
"664","Associate / Junior College","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Average"
"665","Bachelors Degree","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Average"
"666","Bachelors Degree","Very Satisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"667","Associate / Junior College","Very Dissatisfied","Middle Class","Not Satisfied at All","Far Above Average"
"668","High School","Very Dissatisfied","Lower Class","More or Less Satisfied","Far Below Average"
"669","Associate / Junior College","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Average"
"670","Associate / Junior College","Moderately Satisfied","Working Class","Not Satisfied at All","Far Below Average"
"671","Less Than High School","Very Dissatisfied","Lower Class","More or Less Satisfied","Average"
"672","Less Than High School","Moderately Satisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"673","Bachelors Degree","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Below Average"
"674","Associate / Junior College","Very Dissatisfied","Upper Class","More or Less Satisfied","Average"
"675","Less Than High School","Very Satisfied","Lower Class","More or Less Satisfied","Far Below Average"
"676","Graduate Degree","Moderately Satisfied","Working Class","Not Satisfied at All","Far Below Average"
"677","High School","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Average"
"678","Associate / Junior College","Very Dissatisfied","Lower Class","More or Less Satisfied","Above Average"
"679","Associate / Junior College","Very Satisfied","Middle Class","Not Satisfied at All","Far Below Average"
"680","Bachelors Degree","Very Satisfied","Working Class","Pretty Well Satisfied","Below Average"
"681","Less Than High School","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Average"
"682","Less Than High School","Very Satisfied","Lower Class","Not Satisfied at All","Below Average"
"683","Associate / Junior College","A Little Dissatisfied","Lower Class","Not Satisfied at All","Average"
"684","Associate / Junior College","Moderately Satisfied","Upper Class","More or Less Satisfied","Average"
"685","High School","Very Satisfied","Working Class","More or Less Satisfied","Above Average"
"686","Less Than High School","Very Dissatisfied","Working Class","Not Satisfied at All","Below Average"
"687","Less Than High School","A Little Dissatisfied","Working Class","Not Satisfied at All","Above Average"
"688","Less Than High School","Very Satisfied","Lower Class","Pretty Well Satisfied","Below Average"
"689","Bachelors Degree","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"690","Associate / Junior College","Very Dissatisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"691","Graduate Degree","A Little Dissatisfied","Upper Class","More or Less Satisfied","Average"
"692","Graduate Degree","Very Satisfied","Middle Class","More or Less Satisfied","Above Average"
"693","High School","Very Satisfied","Middle Class","Not Satisfied at All","Average"
"694","Less Than High School","Very Satisfied","Working Class","Not Satisfied at All","Far Below Average"
"695","High School","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"696","High School","Very Dissatisfied","Working Class","Not Satisfied at All","Far Above Average"
"697","High School","Very Dissatisfied","Upper Class","Not Satisfied at All","Above Average"
"698","High School","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"699","Less Than High School","Very Dissatisfied","Lower Class","More or Less Satisfied","Above Average"
"700","Graduate Degree","Very Satisfied","Working Class","Not Satisfied at All","Below Average"
"701","Less Than High School","A Little Dissatisfied","Upper Class","More or Less Satisfied","Far Above Average"
"702","Bachelors Degree","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Below Average"
"703","Less Than High School","Very Dissatisfied","Working Class","Pretty Well Satisfied","Above Average"
"704","Graduate Degree","Very Satisfied","Upper Class","More or Less Satisfied","Far Below Average"
"705","High School","Very Satisfied","Lower Class","More or Less Satisfied","Far Above Average"
"706","Associate / Junior College","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Far Below Average"
"707","High School","Very Satisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"708","Graduate Degree","A Little Dissatisfied","Lower Class","Not Satisfied at All","Below Average"
"709","Bachelors Degree","Moderately Satisfied","Lower Class","More or Less Satisfied","Above Average"
"710","Less Than High School","Moderately Satisfied","Working Class","Not Satisfied at All","Far Above Average"
"711","Bachelors Degree","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Average"
"712","Bachelors Degree","Very Dissatisfied","Lower Class","More or Less Satisfied","Average"
"713","Associate / Junior College","Very Satisfied","Middle Class","Pretty Well Satisfied","Below Average"
"714","Bachelors Degree","Very Dissatisfied","Lower Class","More or Less Satisfied","Above Average"
"715","Less Than High School","Moderately Satisfied","Upper Class","Not Satisfied at All","Far Below Average"
"716","Bachelors Degree","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"717","Graduate Degree","A Little Dissatisfied","Upper Class","Not Satisfied at All","Far Above Average"
"718","High School","Very Satisfied","Upper Class","More or Less Satisfied","Far Below Average"
"719","Bachelors Degree","Very Dissatisfied","Lower Class","More or Less Satisfied","Average"
"720","Bachelors Degree","Very Satisfied","Middle Class","Not Satisfied at All","Below Average"
"721","High School","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Average"
"722","Less Than High School","Very Satisfied","Middle Class","More or Less Satisfied","Above Average"
"723","Less Than High School","Very Satisfied","Working Class","More or Less Satisfied","Far Below Average"
"724","Bachelors Degree","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"725","Less Than High School","Very Satisfied","Lower Class","More or Less Satisfied","Average"
"726","High School","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Average"
"727","High School","A Little Dissatisfied","Middle Class","More or Less Satisfied","Far Above Average"
"728","High School","A Little Dissatisfied","Working Class","Not Satisfied at All","Far Above Average"
"729","Graduate Degree","Very Satisfied","Upper Class","More or Less Satisfied","Far Above Average"
"730","Less Than High School","Very Dissatisfied","Upper Class","Not Satisfied at All","Average"
"731","Bachelors Degree","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"732","Bachelors Degree","Very Dissatisfied","Working Class","Not Satisfied at All","Far Above Average"
"733","Bachelors Degree","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Average"
"734","Graduate Degree","Very Satisfied","Working Class","Pretty Well Satisfied","Below Average"
"735","High School","A Little Dissatisfied","Middle Class","Not Satisfied at All","Below Average"
"736","Associate / Junior College","Very Satisfied","Lower Class","Pretty Well Satisfied","Average"
"737","Bachelors Degree","Very Dissatisfied","Lower Class","Not Satisfied at All","Far Below Average"
"738","Bachelors Degree","Moderately Satisfied","Working Class","More or Less Satisfied","Average"
"739","Associate / Junior College","A Little Dissatisfied","Middle Class","Not Satisfied at All","Below Average"
"740","Less Than High School","Moderately Satisfied","Working Class","Pretty Well Satisfied","Average"
"741","Bachelors Degree","Moderately Satisfied","Lower Class","More or Less Satisfied","Far Above Average"
"742","Graduate Degree","Very Satisfied","Lower Class","More or Less Satisfied","Far Above Average"
"743","Associate / Junior College","Very Dissatisfied","Working Class","Not Satisfied at All","Below Average"
"744","High School","A Little Dissatisfied","Middle Class","More or Less Satisfied","Above Average"
"745","Less Than High School","A Little Dissatisfied","Upper Class","Not Satisfied at All","Far Above Average"
"746","Bachelors Degree","Very Satisfied","Middle Class","Pretty Well Satisfied","Above Average"
"747","High School","Very Dissatisfied","Middle Class","More or Less Satisfied","Average"
"748","Bachelors Degree","Very Dissatisfied","Working Class","Not Satisfied at All","Far Above Average"
"749","Graduate Degree","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Below Average"
"750","Less Than High School","Very Dissatisfied","Upper Class","More or Less Satisfied","Far Above Average"
"751","Associate / Junior College","Very Dissatisfied","Middle Class","Not Satisfied at All","Average"
"752","Associate / Junior College","A Little Dissatisfied","Working Class","Not Satisfied at All","Below Average"
"753","Associate / Junior College","Moderately Satisfied","Working Class","Not Satisfied at All","Above Average"
"754","Associate / Junior College","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"755","High School","Moderately Satisfied","Upper Class","Not Satisfied at All","Above Average"
"756","Bachelors Degree","Very Dissatisfied","Lower Class","Not Satisfied at All","Average"
"757","Associate / Junior College","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Above Average"
"758","Associate / Junior College","Very Satisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"759","Associate / Junior College","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Below Average"
"760","Graduate Degree","Very Satisfied","Middle Class","Not Satisfied at All","Far Below Average"
"761","Less Than High School","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"762","Associate / Junior College","Moderately Satisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"763","Graduate Degree","Moderately Satisfied","Middle Class","Not Satisfied at All","Far Above Average"
"764","Graduate Degree","Very Dissatisfied","Upper Class","More or Less Satisfied","Far Below Average"
"765","Associate / Junior College","Very Dissatisfied","Middle Class","Not Satisfied at All","Average"
"766","Less Than High School","Moderately Satisfied","Upper Class","Not Satisfied at All","Far Below Average"
"767","Graduate Degree","Very Satisfied","Working Class","More or Less Satisfied","Below Average"
"768","Associate / Junior College","A Little Dissatisfied","Working Class","Not Satisfied at All","Above Average"
"769","Bachelors Degree","Very Dissatisfied","Upper Class","More or Less Satisfied","Far Below Average"
"770","Bachelors Degree","Very Satisfied","Working Class","More or Less Satisfied","Average"
"771","Bachelors Degree","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Below Average"
"772","Bachelors Degree","Moderately Satisfied","Working Class","Not Satisfied at All","Below Average"
"773","Associate / Junior College","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Average"
"774","Associate / Junior College","Very Dissatisfied","Upper Class","More or Less Satisfied","Above Average"
"775","Less Than High School","A Little Dissatisfied","Lower Class","Not Satisfied at All","Far Below Average"
"776","Associate / Junior College","Very Satisfied","Upper Class","More or Less Satisfied","Above Average"
"777","Graduate Degree","Very Satisfied","Working Class","Not Satisfied at All","Above Average"
"778","High School","Moderately Satisfied","Lower Class","More or Less Satisfied","Average"
"779","Graduate Degree","A Little Dissatisfied","Middle Class","Not Satisfied at All","Far Below Average"
"780","Associate / Junior College","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"781","Bachelors Degree","Very Satisfied","Lower Class","Pretty Well Satisfied","Far Below Average"
"782","Graduate Degree","Very Satisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"783","Bachelors Degree","Very Satisfied","Working Class","Not Satisfied at All","Below Average"
"784","Associate / Junior College","A Little Dissatisfied","Middle Class","Not Satisfied at All","Below Average"
"785","Associate / Junior College","Very Satisfied","Working Class","More or Less Satisfied","Far Above Average"
"786","Less Than High School","A Little Dissatisfied","Working Class","Not Satisfied at All","Far Below Average"
"787","Less Than High School","A Little Dissatisfied","Working Class","More or Less Satisfied","Below Average"
"788","High School","Very Satisfied","Working Class","Not Satisfied at All","Below Average"
"789","Graduate Degree","Very Dissatisfied","Lower Class","Not Satisfied at All","Far Below Average"
"790","Associate / Junior College","Very Dissatisfied","Working Class","More or Less Satisfied","Far Below Average"
"791","Graduate Degree","Very Satisfied","Middle Class","Pretty Well Satisfied","Average"
"792","Graduate Degree","A Little Dissatisfied","Lower Class","More or Less Satisfied","Average"
"793","High School","Very Dissatisfied","Upper Class","Not Satisfied at All","Below Average"
"794","Less Than High School","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Average"
"795","Less Than High School","Very Satisfied","Working Class","More or Less Satisfied","Below Average"
"796","Less Than High School","Very Satisfied","Upper Class","More or Less Satisfied","Far Below Average"
"797","Less Than High School","Moderately Satisfied","Middle Class","Not Satisfied at All","Average"
"798","High School","A Little Dissatisfied","Lower Class","More or Less Satisfied","Far Below Average"
"799","Less Than High School","Very Dissatisfied","Upper Class","Not Satisfied at All","Far Below Average"
"800","Bachelors Degree","A Little Dissatisfied","Lower Class","More or Less Satisfied","Above Average"
"801","Bachelors Degree","Moderately Satisfied","Working Class","Not Satisfied at All","Far Below Average"
"802","Bachelors Degree","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Above Average"
"803","Bachelors Degree","Very Satisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"804","High School","A Little Dissatisfied","Upper Class","More or Less Satisfied","Far Above Average"
"805","Graduate Degree","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Above Average"
"806","High School","Very Satisfied","Upper Class","Pretty Well Satisfied","Above Average"
"807","Graduate Degree","A Little Dissatisfied","Lower Class","More or Less Satisfied","Far Below Average"
"808","Less Than High School","Moderately Satisfied","Lower Class","Not Satisfied at All","Average"
"809","High School","Very Satisfied","Upper Class","Pretty Well Satisfied","Below Average"
"810","Bachelors Degree","Very Satisfied","Working Class","Pretty Well Satisfied","Average"
"811","High School","Moderately Satisfied","Upper Class","Not Satisfied at All","Average"
"812","Bachelors Degree","A Little Dissatisfied","Lower Class","Not Satisfied at All","Far Below Average"
"813","Associate / Junior College","Very Dissatisfied","Lower Class","More or Less Satisfied","Far Below Average"
"814","Less Than High School","Moderately Satisfied","Lower Class","Not Satisfied at All","Far Above Average"
"815","Associate / Junior College","Very Dissatisfied","Upper Class","Not Satisfied at All","Above Average"
"816","Less Than High School","Very Dissatisfied","Middle Class","More or Less Satisfied","Below Average"
"817","Associate / Junior College","Very Satisfied","Lower Class","Pretty Well Satisfied","Average"
"818","High School","Very Satisfied","Upper Class","Pretty Well Satisfied","Above Average"
"819","Bachelors Degree","A Little Dissatisfied","Upper Class","More or Less Satisfied","Far Below Average"
"820","Associate / Junior College","A Little Dissatisfied","Lower Class","More or Less Satisfied","Above Average"
"821","Associate / Junior College","Very Satisfied","Working Class","Pretty Well Satisfied","Above Average"
"822","Graduate Degree","Moderately Satisfied","Upper Class","Not Satisfied at All","Far Above Average"
"823","Graduate Degree","Very Satisfied","Lower Class","More or Less Satisfied","Above Average"
"824","Less Than High School","Very Satisfied","Working Class","Not Satisfied at All","Far Above Average"
"825","Bachelors Degree","Moderately Satisfied","Upper Class","Not Satisfied at All","Average"
"826","High School","A Little Dissatisfied","Lower Class","More or Less Satisfied","Far Below Average"
"827","Less Than High School","Very Satisfied","Working Class","Pretty Well Satisfied","Average"
"828","Associate / Junior College","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"829","High School","Very Satisfied","Middle Class","Not Satisfied at All","Above Average"
"830","Less Than High School","Very Satisfied","Middle Class","Not Satisfied at All","Far Below Average"
"831","Less Than High School","A Little Dissatisfied","Upper Class","Not Satisfied at All","Below Average"
"832","High School","Very Satisfied","Upper Class","More or Less Satisfied","Average"
"833","Graduate Degree","A Little Dissatisfied","Upper Class","Not Satisfied at All","Above Average"
"834","Associate / Junior College","Very Satisfied","Upper Class","Pretty Well Satisfied","Average"
"835","Associate / Junior College","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"836","Less Than High School","Very Satisfied","Middle Class","Not Satisfied at All","Above Average"
"837","Bachelors Degree","Very Dissatisfied","Lower Class","Not Satisfied at All","Average"
"838","Less Than High School","Moderately Satisfied","Upper Class","More or Less Satisfied","Above Average"
"839","Graduate Degree","Very Dissatisfied","Lower Class","Not Satisfied at All","Above Average"
"840","Associate / Junior College","Very Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"841","High School","Very Dissatisfied","Working Class","Not Satisfied at All","Far Below Average"
"842","Associate / Junior College","Very Dissatisfied","Middle Class","Not Satisfied at All","Above Average"
"843","Graduate Degree","A Little Dissatisfied","Working Class","Not Satisfied at All","Far Above Average"
"844","Graduate Degree","Moderately Satisfied","Lower Class","Not Satisfied at All","Far Below Average"
"845","Associate / Junior College","Moderately Satisfied","Middle Class","More or Less Satisfied","Below Average"
"846","Graduate Degree","Moderately Satisfied","Middle Class","More or Less Satisfied","Far Below Average"
"847","Associate / Junior College","Very Satisfied","Working Class","Not Satisfied at All","Below Average"
"848","Graduate Degree","A Little Dissatisfied","Middle Class","More or Less Satisfied","Far Below Average"
"849","Associate / Junior College","Very Dissatisfied","Lower Class","Not Satisfied at All","Average"
"850","Less Than High School","Very Satisfied","Lower Class","Not Satisfied at All","Far Below Average"
"851","Graduate Degree","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"852","Graduate Degree","Very Dissatisfied","Lower Class","More or Less Satisfied","Average"
"853","Bachelors Degree","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"854","High School","A Little Dissatisfied","Working Class","More or Less Satisfied","Average"
